,uniqueID,emerg.date,phen.1,itero.per?,date.1,stem.diam.1,height.1,total.branch.1,longest.leaf.1,buds.1,flrs.1,fruits.1,longest.fruit.1,notes.1,herb.1,protocol.notes.1,phen.2,date.2,stem.diam.2,height.2,total.branch.2,longest.leaf.2,buds.2,flrs.2,fruits.2,longest.fruit.2,notes.2,herb.2,protocol.notes.2,phen.3,date.3,stem.diam.3,height.3,total.branch.3,longest.leaf.3,buds.3,flrs.3,fruits.3,longest.fruit.3,notes.3,herb.3,protocol.notes.3,phen.4,date.4,stem.diam.4,height.4,total.branch.4,longest.leaf.4,buds.4,flrs.4,fruits.4,longest.fruit.4,notes.4,herb.4,protocol.notes.4,date.5,phen.5,stem.diam.5,height.5,total.branch.5,longest.leaf.5,buds.5,flrs.5,fruits.5,longest.fruit.5,notes.5,herb.5,protocol.notes.5,date.6,phen.6,stem.diam.6,height.6,total.branch.6,longest.leaf.6,buds.6,flrs.6,fruits.6,longest.fruit.6,notes.6,herb.6,protocol.notes.6,date.7,phen.7,stem.diam.7,height.7,total.branch.7,longest.leaf.7,buds.7,flrs.7,fruits.7,longest.fruit.7,notes.7,herb.7,date.8,phen.8,stem.diam.8,height.8,total.branch.8,longest.leaf.8,buds.8,flrs.8,fruits.8,longest.fruit.8,canopy.width.8,notes.8,herb.8,itero.per,emerg.date.x,date_01.07.2018,phen_01.07.2018,stem.diam_01.07.2018,height_01.07.2018,total.branch_01.07.2018,longest.leaf_01.07.2018,buds_01.07.2018,flrs_01.07.2018,fruits_01.07.2018,longest.fruit_01.07.2018,herb_01.07.2018,notes_01.07.2018,protocol.notes_01.07.2018,canopy.width.largest.rosette_10.07.2018,date_18.07.2018,phen_18.07.2018,stem.diam_18.07.2018,height_18.07.2018,total.branch_18.07.2018,longest.leaf_18.07.2018,buds_18.07.2018,flrs_18.07.2018,fruits_18.07.2018,longest.fruit_18.07.2018,notes_18.07.2018,herb_18.07.2018,protocol.notes_18.07.2018,date_05.08.2018,phen_05.08.2018,stem.diam_05.08.2018,height_05.08.2018,total.branch_05.08.2018,longest.leaf_05.08.2018,buds_05.08.2018,flrs_05.08.2018,fruits_05.08.2018,longest.fruit_05.08.2018,notes_05.08.2018,herb_05.08.2018,protocol.notes_05.08.2018,date_27.08.2018,phen_27.08.2018,height_27.08.2018,total.branch_27.08.2018,longest.leaf_27.08.2018,buds_27.08.2018,flrs_27.08.2018,fruits_27.08.2018,longest.fruit_27.08.2018,notes_27.08.2018,herb_27.08.2018,protocol.notes_27.08.2018,date_10.07.2018,phen_10.07.2018,height_10.07.2018,total.branch_10.07.2018,longest.leaf_10.07.2018,buds_10.07.2018,flrs_10.07.2018,fruits_10.07.2018,herb_10.07.2018,date_27.07.2018,site_27.07.2018,plot_27.07.2018,quad_27.07.2018,ind_27.07.2018,phen_27.07.2018,height_27.07.2018,total.branch_27.07.2018,longest.leaf_27.07.2018,flrs_27.07.2018,fruits_27.07.2018,buds_27.07.2018,notes_27.07.2018,herb_27.07.2018,protocol.notes_27.07.2018,site,plot,quad,ind,emerg.date.y,phen_16.08.2018,height_16.08.2018,total.branch_16.08.2018,longest.leaf_16.08.2018,buds_16.08.2018,flrs_16.08.2018,fruits_16.08.2018,herb_16.08.2018,notes_16.08.2018,protocol.notes_16.08.2018
72,LVTR1 PNA QNA #22,(8/9/17),P,N,8/9/17,2.85,12.3,2,NA,NA,NA,6,4,NA,NA,NA,P,8/15/17,2.85,12.3,2,NA,3,0,6,4,NA,NA,NA,P/B,8/21/17,2.85,12.3,2,NA,4,0,6,4,pods dehiscent but buds. Budding again b/c dried out?,NA,NA,P/B,8/28/17,2.85,12.3,2,NA,2,3,6,4,NA,NA,NA,9/2/17,F,3.02,12.3,2,NA,5,1,NA,4,NA,NA,NA,9/11/17,S,3.02,10.3,2,NA,0,0,5,4.3,some pods fell off,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,7/1/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/6/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,LVTR1 PNA QNA #23,(8/9/17),P,N,8/9/17,1.54,7.5,1,NA,NA,NA,NA,NA,reproductive parts failed,NA,NA,B,8/15/17,1.54,7.5,1,NA,4,0,NA,NA,was P but failed pods & flrs,NA,NA,B,8/21/17,1.54,7.5,1,NA,4,NA,NA,NA,NA,NA,NA,B,8/28/17,1.54,7.5,1,NA,3,2,NA,NA,NA,NA,NA,9/2/17,F,1.98,7.5,1,NA,1,1,2,1.5,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,7/1/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/6/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,LVTR1 PNA QNA #24,(8/9/17),F,N,8/9/17,1.56,11.8,3,NA,2,2,4,4.2,meristem chopped,2b,NA,F,8/15/17,1.56,11.8,3,NA,2,2,5,4.2,NA,NA,NA,P,8/21/17,1.56,11.8,3,NA,5,0,7,4.2,NA,NA,NA,P,8/28/17,1.56,11.8,3,NA,3,1,7,4.2,NA,NA,NA,9/2/17,F,1.91,11.8,3,NA,4,1,6,4.9,NA,NA,NA,9/11/17,P,1.91,10.5,3,NA,NA,NA,6,4.9,shorter,NA,NA,9/18/17,S,1.91,10.5,3,NA,0,0,6,4.9,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,7/1/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/6/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,LVTR1 PNA QNA #25,(8/9/17),P,N,8/9/17,1.93,10.5,1,NA,NA,NA,3,4.6,NA,NA,NA,SX,8/15/17,1.93,10.5,1,NA,NA,NA,3,4.6,NA,NA,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,7/1/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/6/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,LV1 P1 QNA #1,(8/9/17),V,Y,8/9/17,1.8,1.3,2,1,NA,NA,NA,NA,1 vb,NA,"phenology code ""D"" = Dormant dead stalk. No new growth yet. Any germinants near them are counted in notes and marked on tag.",V,8/15/17,1.8,1.8,2,1,NA,NA,NA,NA,bolting,NA,NA,B,8/22/17,1.8,1.8,2,NA,4,NA,NA,NA,LV1 data originally recorded in Rite in the Rain notebook,NA,NA,B,8/29/17,1.8,2.7,2,NA,10,NA,NA,NA,NA,NA,NA,9/3/17,F,1.35,0.9,1,0.9,NA,NA,NA,NA,NA,NA,NA,9/12/17,F,2.22,5.2,3,NA,8,2,2,3.1,NA,NA,NA,9/19/17,F,2.22,7,3,NA,8,3,2,4.1,NA,NA,9/30/17,P,2.02,6,3,NA,NA,NA,2,3.9,NA,1 branch broken,NA,Y,2017,6/30/18,V,NA,4.1,2,0.5,NA,NA,NA,NA,0,NA,"""D"" = Old plants 2017",1.1,7/18/18,F,NA,8.6,2,NA,16,1,NA,NA,NA,0,NA,8/5/18,B,3.22,4.6,4,NA,10,0,0,NA,2b herb (3),2,ANTS everywhere. Syrphid flies too,8/27/18,F,3,3,NA,6,2,NA,NA,NA,0,NA,7/10/18,B,4.1,2,NA,9,NA,NA,0,7/27/18,LV1,1,NA,1,B,4.6*,3,NA,NA,NA,7,*herb 2b (photo) (3 branches),NA,NA,LV1,1,NA,1,NA,B,6.1,3,NA,8,NA,NA,1.5,herb 2B (3) Herb 1a,NA
77,LV1 P1 QNA #1-1,(8/29/2017),NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LV2 p2: unmarked veg not growing v. quickly: no new marked inds. On 8/22,V,8/29/17,0.96,0.6,1,0.6,NA,NA,NA,NA,NA,NA,NA,9/3/17,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/12/17,V,1.35,0.9,1,0.9,NA,NA,NA,NA,NA,NA,NA,9/19/17,V,1.35,0.9,1,0.9,NA,NA,NA,NA,NA,NA,9/30/17,V,1.47,1.4,1,1,NA,NA,NA,NA,2,NA,NA,Y,2017,6/30/18,V,NA,1.2,1,1,NA,NA,NA,NA,0,NA,NA,1.9,7/18/18,F,NA,3.1,1,NA,9,3,NA,NA,herb 1a,1,NA,8/5/18,B,2.34,3.5,3,NA,16,0,0,NA,1 VB herb 1a,1,NA,8/27/18,X,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,7/10/18,B,2.4,1,NA,10,NA,NA,0,7/27/18,LV1,1,NA,1-Jan,B,2.1,3,NA,NA,NA,9,herb 1a,1,NA,LV1,1,NA,1-Jan,NA,X,NA,NA,NA,NA,NA,NA,0,NA,NA
78,LV1 P1 QNA #1-2,(8/29/2017),NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 p1: 43 D is regrowing new veg: longest leaf = 0.4, branches = 5, height = 4.5, stem diam = 2.26",F,8/29/17,1.54,10.2,3,NA,21,1,NA,NA,1 VB (vb will prob bud),NA,NA,9/3/17,F,1.35,0.9,1,0.9,NA,NA,NA,NA,NA,NA,NA,9/12/17,F,2.13,15,3,NA,8,4,8,6.5,1vb,NA,NA,9/19/17,F,2.13,15,3,NA,7,2,11,7,2 VB,NA,9/30/17,S/V,1.66,14,3,NA,NA,NA,7,7,NA,1 VB,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,LV1 P1 QNA #2,(8/9/17),D,N,8/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vb = vegetative branches. Assume rest of branches (total number) are reproductive unless ""D"".",D,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/29/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/3/17,D,2.13,14.2,3,NA,13,8,2,0.4,1VB,NA,NA,9/12/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/19/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,new small vegetative growth on stem,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,LV1 P1 QNA #3,(8/9/17),D,N,8/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G - number of germinants located underneath/near the individual (within 3 cm; no other plants are around),D,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/29/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/3/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/12/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/19/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,LV1 P1 QNA #4,(8/9/17),D,N,8/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/29/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/3/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/12/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/19/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,LV1 P1 QNA #5,(8/9/17),D,N,8/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/29/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/3/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/12/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/19/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,LV1 P1 QNA #6,(8/9/17),D,N,8/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/29/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/3/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/12/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/19/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,LV1 P1 QNA #6-1,(8/29/2017),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,8/29/17,3.78,14,3,NA,23,15,NA,NA,NA,NA,NA,9/3/17,F,3.78,14.5,3,NA,13,11,14,5.4,NA,NA,NA,9/12/17,F,3.78,14.5,3,NA,8,1,15,6.2,NA,NA,NA,9/19/17,P,3.78,14.5,3,NA,NA,0,19,6.2,NA,NA,9/30/17,P,2.73,15,3,NA,NA,NA,14,6.4,NA,1 fruit must have broken,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,LV1 P1 QNA #7,(8/9/17),D,N,8/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/29/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/3/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/12/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/19/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,LV1 P1 QNA #8,(8/9/17),D,N,8/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/29/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/3/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/12/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/19/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,LV1 P1 QNA #8-1,(8/29/2017),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,8/29/17,2.42,11,1,NA,10,5,NA,NA,NA,NA,NA,9/3/17,F,2.42,12,1,NA,6,5,3,1.5,NA,NA,NA,9/12/17,F,2.42,13,1,NA,4,2,4,5.5,NA,NA,NA,9/19/17,P,2.42,13,1,NA,4,0,11,5.6,NA,NA,9/30/17,S,2.3,14.1,1,NA,NA,NA,5,5.3,NA,NA,NA,N,2017,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Can't Find,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,LV1 P1 QNA #9,(8/9/17),V,Y,8/9/17,2.55,3.5,4,1.2,NA,NA,NA,NA,"5 vb, GTT",NA,NA,B,8/15/17,2.55,4,4,NA,4,0,0,NA,NA,NA,NA,B,8/22/17,2.55,4,4,NA,17,NA,NA,NA,NA,NA,NA,F,8/29/17,2.55,NA,4,NA,15,8,NA,NA,missing height recording - what was written is not correct,NA,NA,9/3/17,F,3.23,13.5,4,NA,7,9,8,4,NA,NA,NA,9/12/17,F,3.23,14,4,NA,4,3,16,6,NA,NA,NA,9/19/17,F,2.23,14,4,NA,4,1,19,6,NA,NA,9/30/17,S,3.1,14.5,4,NA,NA,NA,11,5.7,NA,5 fruits gone,NA,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,LV1 P1 QNA #10,(8/9/17),D,N,8/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/15/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/22/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,8/29/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/3/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/12/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/19/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2017,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Can't Find,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
