"","X1","uniqueID","emerg.date","phen.1","itero.per?","date.1","stem.diam.1","height.1","total.branch.1","longest.leaf.1","buds.1","flrs.1","fruits.1","longest.fruit.1","notes.1","herb.1","protocol.notes.1","phen.2","date.2","stem.diam.2","height.2","total.branch.2","longest.leaf.2","buds.2","flrs.2","fruits.2","longest.fruit.2","notes.2","herb.2","protocol.notes.2","phen.3","date.3","stem.diam.3","height.3","total.branch.3","longest.leaf.3","buds.3","flrs.3","fruits.3","longest.fruit.3","notes.3","herb.3","protocol.notes.3","phen.4","date.4","stem.diam.4","height.4","total.branch.4","longest.leaf.4","buds.4","flrs.4","fruits.4","longest.fruit.4","notes.4","herb.4","protocol.notes.4","date.5","phen.5","stem.diam.5","height.5","total.branch.5","longest.leaf.5","buds.5","flrs.5","fruits.5","longest.fruit.5","notes.5","herb.5","protocol.notes.5","date.6","phen.6","stem.diam.6","height.6","total.branch.6","longest.leaf.6","buds.6","flrs.6","fruits.6","longest.fruit.6","notes.6","herb.6","protocol.notes.6","date.7","phen.7","stem.diam.7","height.7","total.branch.7","longest.leaf.7","buds.7","flrs.7","fruits.7","longest.fruit.7","notes.7","herb.7","date.8","phen.8","stem.diam.8","height.8","total.branch.8","longest.leaf.8","buds.8","flrs.8","fruits.8","longest.fruit.8","canopy.width.8","notes.8","herb.8","itero.per","emerg.date.x","date_01.07.2018","phen_01.07.2018","stem.diam_01.07.2018","height_01.07.2018","total.branch_01.07.2018","longest.leaf_01.07.2018","buds_01.07.2018","flrs_01.07.2018","fruits_01.07.2018","longest.fruit_01.07.2018","herb_01.07.2018","notes_01.07.2018","protocol.notes_01.07.2018","canopy.width.largest.rosette_10.07.2018","date_18.07.2018","phen_18.07.2018","stem.diam_18.07.2018","height_18.07.2018","total.branch_18.07.2018","longest.leaf_18.07.2018","buds_18.07.2018","flrs_18.07.2018","fruits_18.07.2018","longest.fruit_18.07.2018","notes_18.07.2018","herb_18.07.2018","protocol.notes_18.07.2018","date_05.08.2018","phen_05.08.2018","stem.diam_05.08.2018","height_05.08.2018","total.branch_05.08.2018","longest.leaf_05.08.2018","buds_05.08.2018","flrs_05.08.2018","fruits_05.08.2018","longest.fruit_05.08.2018","notes_05.08.2018","herb_05.08.2018","protocol.notes_05.08.2018","date_27.08.2018","phen_27.08.2018","height_27.08.2018","total.branch_27.08.2018","longest.leaf_27.08.2018","buds_27.08.2018","flrs_27.08.2018","fruits_27.08.2018","longest.fruit_27.08.2018","notes_27.08.2018","herb_27.08.2018","protocol.notes_27.08.2018","date_10.07.2018","phen_10.07.2018","height_10.07.2018","total.branch_10.07.2018","longest.leaf_10.07.2018","buds_10.07.2018","flrs_10.07.2018","fruits_10.07.2018","herb_10.07.2018","date_27.07.2018","site_27.07.2018","plot_27.07.2018","quad_27.07.2018","ind_27.07.2018","phen_27.07.2018","height_27.07.2018","total.branch_27.07.2018","longest.leaf_27.07.2018","flrs_27.07.2018","fruits_27.07.2018","buds_27.07.2018","notes_27.07.2018","herb_27.07.2018","protocol.notes_27.07.2018","site.x","plot.x","quad.x","ind.x","emerg.date.y","phen_16.08.2018","height_16.08.2018","total.branch_16.08.2018","longest.leaf_16.08.2018","buds_16.08.2018","flrs_16.08.2018","fruits_16.08.2018","herb_16.08.2018","notes_16.08.2018","protocol.notes_16.08.2018","site.y","plot.y","quad.y","ind.y","itero.per.19","emerg.date.19","date_25.07.2019","phen_25.07.2019","stem.diam_25.07.2019","height_25.07.2019","total.branch_25.07.2019","longest.leaf","buds_25.07.2019","flrs_25.07.2019","fruits_25.07.2019","longest.fruit_25.07.2019","herb_25.07.2019","branch.damage_25.07.2019","notes_25.07.2019","protocol.notes_25.07.2019","date_02.08.2019","phen_02.08.2019","stem.diam_02.08.2019","height_02.08.2019","total.branch_02.08.2019","longest.leaf_02.08.2019","buds_02.08.2019","flrs_02.08.2019","fruits_02.08.2019","longest.fruit_02.08.2019","herb_02.08.2019","branch.damage_02.08.2019","notes_02.08.2019","protocol.notes_02.08.2019","date_08.08.2019","phen_08.08.2019","stem.diam_08.08.2019","height_08.08.2019","total.branch_08.08.2019","longest.leaf_08.08.2019","buds_08.08.2019","flrs_08.08.2019","fruits_08.08.2019","longest.fruit_08.08.2019","herb_08.08.2019","branch.damage_08.08.2019","notes_08.08.2019","protocol.notes_08.08.2019","date_18.08.2019","phen_18.08.2019","stem.diam_18.08.2019","height_18.08.2019","total.branch_18.08.2019","longest.leaf_18.08.2019","buds_18.08.2019","flrs_18.08.2019","fruits_18.08.2019","longest.fruit_18.08.2019","herb_18.08.2019","branch.damage_18.08.2019","notes_18.08.2019","protocol.notes_18.08.2019","date_28.08.2019","phen_28.08.2019","stem.diam_28.08.2019","height_28.08.2019","total.branch_28.08.2019","longest.leaf_28.08.2019","buds_28.08.2019","flrs_28.08.2019","fruits_28.08.2019","longest.fruit_28.08.2019","herb_28.08.2019","branch.damage_28.08.2019","notes_28.08.2019","protocol.notes_28.08.2019","date_07.09.2019","phen_07.09.2019","stem.diam_07.09.2019","height_07.09.2019","total.branch_07.09.2019","longest.leaf_07.09.2019","buds_07.09.2019","flrs_07.09.2019","fruits_07.09.2019","longest.fruit_07.09.2019","herb_07.09.2019","branch.damage_07.09.2019","notes_07.09.2019","protocol.notes_07.09.2019","date_18.09.2019","phen_18.09.2019","stem.diam_18.09.2019","height_18.09.2019","total.branch_18.09.2019","longest.leaf_18.09.2019","buds_18.09.2019","flrs_18.09.2019","fruits_18.09.2019","longest.fruit_18.09.2019","herb_18.09.2019","branch.damage_18.09.2019","notes_18.09.2019","protocol.notes_18.09.2019","date_28.09.2019","phen_28.09.2019","stem.diam_28.09.2019","height_28.09.2019","total.branch_28.09.2019","longest.leaf_28.09.2019","buds_28.09.2019","flrs_28.09.2019","fruits_28.09.2019","longest.fruit_28.09.2019","herb_28.09.2019","branch.damage_28.09.2019","notes_28.09.2019","protocol.notes_28.09.2019"
"169",169,"LV1 P2 QNA #0-10","(8/29/17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/14/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V","8/29/17","1.53",2,1,0.7,NA,NA,NA,NA,NA,NA,NA,"9/3/17","V",1.53,2.6,1,0.7,NA,NA,NA,NA,NA,NA,NA,"9/12/17","V","1.53","2.6","1","0.7",NA,NA,NA,NA,NA,NA,NA,"9/19/17","V",1.53,2.6,"1","0.7",NA,NA,NA,NA,NA,NA,"9/30/17","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","2017","6/30/18","D",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/5/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/27/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",170,"LV1 P2 QNA #0-11","(8/29/17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/14/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V","8/29/17","1.41",2.1,1,1.3,NA,NA,NA,NA,NA,NA,NA,"9/3/17","V",1.63,2.1,1,1.3,NA,NA,NA,NA,NA,NA,NA,"9/12/17","V","1.63","2.1","1","0.3",NA,NA,NA,NA,NA,NA,NA,"9/19/17","V",1.63,2.1,"1","1.3",NA,NA,NA,NA,NA,NA,"9/30/17","V",2.04,"1.6","1",1.4,NA,NA,NA,NA,3,NA,NA,"Y","2017","6/30/18","V",1.4,1,1.5,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18","F",NA,10.5,3,NA,19,6,0,NA,NA,0,NA,"8/5/18","P",2.38,14.4,2,NA,0,0,12,6.5,NA,0,NA,"8/27/18","SX",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"7/10/18","B","3.7","2",NA,"14",NA,NA,0,"7/27/18","LV1",2,NA,"0-11","F","14.2","3",NA,8,14,6,NA,NA,NA,"LV1",2,NA,"0-11",NA,"P",14.7,2,NA,NA,NA,12,0,NA,NA,"LV1",2,NA,"0-11","N","8/8/19","7/26/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/2/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/8/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/18/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/28/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/7/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/18/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/28/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",171,"LV1 P2 QNA #0-12","(8/29/17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/14/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","8/29/17","2.18",12,1,NA,11,7,0,NA,NA,NA,NA,"9/3/17","F",2.5,13.5,1,NA,6,6,7,3,NA,NA,NA,"9/12/17","F","2.5","14.3","1",NA,"4","2","13","5.9",NA,NA,NA,"9/19/17","P",2.5,7.5,"1",NA,NA,NA,NA,NA,"chopped, herb","1a, 2b","9/30/17","P",2.77,"7.4","4",NA,12,NA,NA,NA,NA,"all branches chopped; budding again","2b","Y","2017","6/30/18","Alive on 7/10",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18","B",NA,3.5,3,NA,15,NA,NA,NA,"herb 2b (AM chopped, maybe broken since iteroparous perennial)",2,NA,"8/5/18","F",2.49,9.4,3,NA,13,6,17,4.4,"herb 2b (1)",2,NA,"8/27/18","SX",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"7/10/18","V","3.3","2","0.5",NA,NA,NA,1,"7/27/18","LV1",2,NA,"0-12","F","7","3",NA,4,NA,13,"herb 2b (1 branch)","2",NA,"LV1",2,NA,"0-12",NA,"P",9,4,NA,NA,NA,5,0,NA,NA,"LV1",2,NA,"0-12","N","8/8/19","7/26/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/2/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/8/19","LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/18/19","LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/28/19","LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/7/19","LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/18/19","LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/28/19","LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,"LV1 P2 QNA #1","(8/9/17)","V","Y","8/9/17","3.95",4,6,2,NA,NA,NA,NA,"5 VB",NA,NA,"V","8/14/17","3.95",4,6,2,NA,NA,NA,NA,"bolting",NA,NA,"B","8/22/17","3.95",4,6,NA,74,NA,NA,NA,NA,NA,NA,"F","8/29/17","4.73",10,12,NA,96,21,0,NA,NA,NA,NA,"9/3/17","F",4.73,15.8,12,NA,7,5,2,0.7,NA,NA,NA,"9/12/17","F","4.73","17.2","12",NA,"67","3","4","7.2","Herbivory","1a",NA,"9/19/17","B",4.73,7,"12",NA,67,NA,NA,NA,"herb, branches chopped","1a, 2b","9/30/17","F",4.59,"9.5","3",NA,73,1,NA,NA,NA,NA,NA,"N","2017","6/30/18","D",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/5/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/27/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",173,"LV1 P2 QNA #2","(8/9/17)","V","Y","8/9/17","2.14",4.5,3,1.5,NA,NA,NA,NA,"looks older",NA,NA,"V","8/14/17","2.14",4.5,3,1.5,NA,NA,NA,NA,"could be itero, but no stalks- probably at least a per. Bolting",NA,NA,"B","8/22/17","2.14",4.5,3,NA,56,NA,NA,NA,NA,NA,NA,"F","8/29/17","3.06",14.2,8,NA,58,28,0,NA,NA,NA,NA,"9/3/17","F",3.42,15.1,8,NA,26,24,28,2.5,NA,NA,NA,"9/12/17","F","3.42","17","8",NA,"21","2","40","6.5",NA,NA,NA,"9/19/17","P",3.42,13,"8",NA,NA,NA,6,5.5,"herb, branches chopped, not same pod as last time","1a, 2b","9/30/17","S",3.44,"11.4","9",NA,NA,NA,3,"5.2",NA,NA,NA,"N","2017","6/30/18","D",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/5/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/27/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",174,"LV1 P2 QNA #2-1","(8/29/17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/14/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","8/29/17","1.65",7.1,1,NA,5,4,0,NA,NA,NA,NA,"9/3/17","F",2.01,7.5,1,NA,3,1,4,1.2,NA,NA,NA,"9/12/17","P","2.01","8.4","1",NA,"3","0","4","3.7",NA,NA,NA,"9/19/17","P",2.01,8.4,"1",NA,NA,NA,3,3.7,NA,NA,"9/30/17","S",1.61,"7.8","1",NA,NA,NA,2,"3.7",NA,NA,NA,"N","2017","6/30/18","D",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/5/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/27/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,"LV1 P2 QNA #2-2","(8/29/17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/14/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","8/29/17","2.82",11.2,1,NA,8,5,0,NA,NA,NA,NA,"9/3/17","F",2.91,13.3,1,NA,5,5,5,3.1,NA,NA,NA,"9/12/17","F","2.91","13.6","1",NA,"3","1","7","6.3",NA,NA,NA,"9/19/17","F",2.91,13.6,"1",NA,1,1,8,6.3,NA,NA,"9/30/17","S",3.02,"14.5","1",NA,NA,NA,4,"6.1",NA,NA,NA,"N","2017","6/30/18","D",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/5/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/27/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",176,"LV1 P2 QNA #2-3","(8/29/17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/14/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","8/29/17","2.14",5.5,6,NA,14,2,0,NA,NA,NA,NA,"9/3/17","F",2.33,8.4,6,NA,12,2,NA,NA,"2 VB",NA,NA,"9/12/17","F","2.33","10","6",NA,"13","5","3","4","1 V B",NA,NA,"9/19/17","F",2.33,10,"6",NA,10,4,3,4,"1 VB",NA,"9/30/17","S/V",2.38,"11","6",NA,NA,NA,2,"4.2",NA,"1 VB",NA,"N","2017","6/30/18","D",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/5/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/27/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",177,"LV1 P2 QNA #3","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,NA,NA,NA,NA,"G2",NA,NA,"D","8/14/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","8/22/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","8/29/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/3/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/30/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no fruits left, herbivory","1a","N","2017","6/30/18","Can't Find",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/5/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/27/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",178,"LV1 P2 QNA #3-1","(8/29/17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/14/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/22/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","8/29/17","1.85",8.9,1,NA,9,4,0,NA,NA,NA,NA,"9/3/17","F",2.5,10.1,1,NA,5,6,3,1.6,NA,NA,NA,"9/12/17","P","2.5","10.5","1",NA,"2","0","7","5.3",NA,NA,NA,"9/19/17","P",2.5,10.5,"1",NA,2,0,5,5.3,NA,NA,NA,"S",2.44,"11.1","1",NA,NA,NA,5,"5.1",NA,NA,NA,"N","2017","6/30/18","D",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"7/18/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/5/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"8/27/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1",2,NA,"3-1","N","8/8/19","7/26/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/2/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/8/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/18/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8/28/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/7/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/18/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9/28/19","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
